gene_id	gene_name	DRX001077	DRX001078	DRX003214	DRX331013	SRX1096724	SRX12476603	SRX477984	SRX477985	SRX477988	SRX707440	UV_Tom
OoffiChr01g03421	OoffiChr01g03421	13.735707	13.063629	15.670064	3.051812	12.910184	6.693009	8.124445	26.30917	12.932974	8.001386	3.237795
OoffiChr01g03422	OoffiChr01g03422	0.429021	0.473725	0.710493	0.604527	0.581109	2.227748	0.903666	2.255289	3.044085	1.529677	2.303349
OoffiChr01g03423	OoffiChr01g03423	0.424367	17.681723	2.827714	0.122038	0.17692	1.080568	0.432966	1.329059	2.778835	0.291173	0.211361
OoffiChr01g03424	OoffiChr01g03424	2.672046	12.028188	24.870231	99.598898	41.433775	39.567814	104.995754	48.28612	46.833894	53.378254	59.592748
OoffiChr01g03425	OoffiChr01g03425	32.044153	20.167812	19.299656	30.099154	23.748759	22.460726	23.009393	19.272268	15.584304	12.352883	82.161693
OoffiChr01g03426	OoffiChr01g03426	0.538795	0.497384	0.261101	0	3.650418	0.175383	0.010851	0.103462	3.489835	0.432584	0
OoffiChr01g03427	OoffiChr01g03427	0.404857	0.413713	0.118645	0	0.044793	0.080612	0.005532	0	3.68192	0.381947	0
OoffiChr01g03428	OoffiChr01g03428	0.172978	21.556965	5.929944	0.087322	0.556166	0.685016	0.749876	16.949602	3.346211	0.619962	0
OoffiChr01g03429	OoffiChr01g03429	13.653089	14.367089	23.66525	21.110557	27.818478	68.928499	30.022409	25.560811	34.42683	22.144043	45.526781
OoffiChr01g03430	OoffiChr01g03430	0.814913	1.466816	5.799756	0.275928	26.720663	94.029012	0.277361	0.16983	21.381583	2.045298	21.429181
OoffiChr01g03431	OoffiChr01g03431	19.654942	21.726955	34.340024	6.086678	58.224664	115.840747	16.967665	49.562026	34.386521	11.122021	12.399351
OoffiChr01g03432	OoffiChr01g03432	18.412566	28.759776	31.216994	41.153253	55.012796	38.005485	43.015219	46.199682	32.516141	28.142298	39.790972
OoffiChr01g03433	OoffiChr01g03433	37.824764	27.137326	40.538366	16.55553	50.927204	72.066507	10.890365	51.587879	32.300989	10.939131	24.904267
OoffiChr01g03434	OoffiChr01g03434	14.155617	14.877662	13.525676	5.701212	18.462879	27.117548	12.939266	19.446695	21.211703	11.189278	10.67408
OoffiChr01g03435	OoffiChr01g03435	20.331461	33.089103	23.008431	15.813642	16.233295	94.132664	15.685385	46.503061	36.905598	10.210639	23.389796
OoffiChr01g03436	OoffiChr01g03436	7.340106	40.24535	15.670941	6.241585	12.132735	6.666906	13.210355	29.217972	20.396023	6.556857	5.407234
OoffiChr01g03437	OoffiChr01g03437	17.408684	17.031783	19.550386	21.281049	18.148948	14.219351	11.863879	6.540805	9.676641	16.67775	13.918232
OoffiChr01g03438	OoffiChr01g03438	17.578792	17.258257	54.747674	27.184464	50.283525	155.197631	26.008834	72.336681	160.395473	28.180543	33.14624
OoffiChr01g03439	OoffiChr01g03439	84.937661	116.404577	68.384807	16.969986	36.335205	38.03361	83.493947	215.540182	88.010534	34.257929	27.653264
OoffiChr01g03440	OoffiChr01g03440	45.693547	98.68443	88.464399	43.694566	84.002699	37.937248	92.886345	71.073358	78.746362	65.367934	27.107058
OoffiChr01g03441	OoffiChr01g03441	6.664725	7.430851	0.500535	0.189418	11.713122	1.025095	1.299842	8.102516	5.47696	1.178483	0
OoffiChr01g03442	OoffiChr01g03442	0.4268	8.28413	3.544287	122.826048	55.762236	41.165022	268.665807	164.714181	3.137006	392.322887	34.631681
OoffiChr01g03443	OoffiChr01g03443	40.550891	47.290623	43.841864	30.441702	49.403558	147.534219	51.691526	129.088059	92.044162	46.072497	53.800989
OoffiChr01g03444	OoffiChr01g03444	1.604587	753.475993	226.822838	0.441936	30.770016	3.244162	2.507586	41.306823	145.419289	8.398979	4.126328
OoffiChr01g03445	OoffiChr01g03445	87.158083	15.994695	264.548098	200.861543	503.528707	557.287926	182.880926	102.199866	482.680856	106.987289	357.231323
OoffiChr01g03446	OoffiChr01g03446	21.923625	14.182234	26.853254	15.727914	23.314571	32.560722	16.805148	44.693138	27.233529	18.816743	16.618548
OoffiChr01g03447	OoffiChr01g03447	20.287016	10.776609	25.171369	3.276119	9.901045	48.144055	14.417899	40.948262	38.267407	29.618691	16.270453
OoffiChr01g03448	OoffiChr01g03448	61.046931	55.961789	115.92669	169.297986	114.094201	206.269141	67.684897	48.225191	103.934009	104.182484	250.3745
OoffiChr01g03449	OoffiChr01g03449	10.880372	13.358029	25.598629	16.142071	38.195169	51.791763	14.877949	31.72452	24.990293	11.102739	26.763897
OoffiChr01g03450	OoffiChr01g03450	0.388889	0.317314	0.140183	5.181707	3.053615	0.28988	3.305818	0.260223	3.566651	4.891229	0
OoffiChr01g03451	OoffiChr01g03451	8.37651	12.930121	3.638743	4.607641	7.297191	4.983612	4.793676	4.875551	6.886297	4.883306	5.100344
OoffiChr01g03452	OoffiChr01g03452	7.425405	7.699319	5.003462	11.256906	5.917883	10.038413	5.654901	2.552104	10.997013	5.70982	26.312968
OoffiChr01g03453	OoffiChr01g03453	99.690847	66.718326	135.012943	35.811717	190.035516	289.09555	57.220039	51.808794	46.208967	75.883026	37.91937
OoffiChr01g03454	OoffiChr01g03454	3.685598	5.086888	24.849255	6.941823	2.437194	1.539468	2.002694	1.63172	7.959771	17.836747	4.584678
OoffiChr01g03455	OoffiChr01g03455	1.027305	1.312223	0	0	0	1.152915	0	0.65572	1.489624	0	0
OoffiChr01g03456	OoffiChr01g03456	0.955959	1.023903	4.546848	18.049082	12.574323	11.49432	2.672278	0.252863	11.361943	41.46342	26.270486
OoffiChr01g03457	OoffiChr01g03457	1.360755	2.527772	0.255817	0	0	0	0	0	2.046079	4.790304	0
OoffiChr01g03458	OoffiChr01g03458	0.296467	0.950756	4.537029	14.068284	2.62417	4.45197	1.098029	0.146885	48.301587	4.210012	40.558395
OoffiChr01g03459	OoffiChr01g03459	0.785259	1.70256	4.951152	13.424765	0	0.431027	0.443844	0	13.121436	21.415485	20.337805
OoffiChr01g03460	OoffiChr01g03460	1.761757	4.231782	0.383872	0.284878	5.302341	0.295801	0.283383	3.446926	2.271634	7.72411	0.538329
OoffiChr01g03461	OoffiChr01g03461	1.308433	1.893978	0.253137	0	0.62529	0.60054	0	18.463748	4.606118	5.579154	0
OoffiChr01g03462	OoffiChr01g03462	29.005552	19.496015	28.454081	56.136243	24.580226	5.033504	7.682294	9.946038	91.213765	29.405332	19.006912
OoffiChr01g03463	OoffiChr01g03463	0.34975	14.615782	29.3459	11.945655	23.431673	4.268987	4.509938	5.826401	5.135103	25.143043	2.06508
OoffiChr01g03464	OoffiChr01g03464	29.682145	35.018257	30.417749	73.868476	53.286997	79.05207	44.13289	23.909755	42.11287	49.002139	96.23089
OoffiChr01g03465	OoffiChr01g03465	14.307908	23.689306	27.660649	8.90852	10.355684	22.542842	7.274934	22.700322	21.310518	11.933772	19.136044
OoffiChr01g03466	OoffiChr01g03466	10.894397	15.84562	12.782248	33.25393	8.937641	4.197821	1.729913	3.386895	4.790221	11.540859	4.80814
OoffiChr01g03467	OoffiChr01g03467	10.995013	15.055634	12.513909	9.518186	28.997634	35.752542	11.613793	15.228501	15.748184	11.399235	27.440432
OoffiChr01g03468	OoffiChr01g03468	5.572546	6.021583	4.876785	5.325774	5.092446	5.111066	8.613591	6.022234	5.259275	3.45864	4.935855
OoffiChr01g03469	OoffiChr01g03469	47.76716	31.548325	31.924435	37.833665	48.352633	50.817674	59.697957	45.767678	50.083848	25.777045	64.971078
OoffiChr01g03470	OoffiChr01g03470	31.308938	50.707044	72.261473	101.035076	18.53446	18.686764	44.182821	33.45207	24.003924	21.971722	70.708224
OoffiChr01g03471	OoffiChr01g03471	0.570798	0.670901	0.204928	0	1.441668	0.594934	0	0.058789	3.520445	0	0
OoffiChr01g03472	OoffiChr01g03472	0.50072	0.736742	0.661184	0	0.143504	2.824982	0	0	3.223371	0	0
OoffiChr01g03473	OoffiChr01g03473	96.518492	28.431899	53.736062	8.722512	49.927705	111.198299	3.870317	6.519102	21.052436	6.706425	31.684206
OoffiChr01g03474	OoffiChr01g03474	79.535903	40.83328	77.578056	4.701792	40.99057	12.180248	1.657232	14.598381	57.847131	3.993384	115.071123
OoffiChr01g03475	OoffiChr01g03475	2.583509	8.745318	6.579543	49.507191	12.933329	5.807207	12.590087	5.195703	4.847002	15.739217	8.117368
